contrast,.value,.lower,.upper,.width,.point,.interval,first,second
hear - reveal,0.02099198993304483,-0.18417247203847503,0.225537208076052,0.95,mean,hdi,hear,reveal
hear - say,-0.7281806935568799,-0.951473919096876,-0.5017054601869463,0.95,mean,hdi,hear,say
hear - see,0.2251393495458412,0.01631887698563543,0.44796704989491926,0.95,mean,hdi,hear,see
hear - stop,1.6373900696045074,1.3865142757201316,1.882313442316863,0.95,mean,hdi,hear,stop
hear - suggest,-0.5533075941757921,-0.7683499410610438,-0.3428071944046032,0.95,mean,hdi,hear,suggest
hear - think,-0.6472788451840537,-0.8762379870916958,-0.435128206135624,0.95,mean,hdi,hear,think
hear - too,1.99498848476328,1.7501247767363983,2.265111357135149,0.95,mean,hdi,hear,too
inform - know,0.5058133381511859,0.30143217220333957,0.7194595658151476,0.95,mean,hdi,inform,know
inform - pretend,0.02464248324750955,-0.16585546024049078,0.23852816103871705,0.95,mean,hdi,inform,pretend
inform - prove,-0.2631230895651133,-0.4534382085905552,-0.07105617469868981,0.95,mean,hdi,inform,prove
inform - reveal,-0.3408904733903917,-0.535776595312123,-0.14048777532654788,0.95,mean,hdi,inform,reveal
inform - say,-1.0900631568803163,-1.3040931612850477,-0.8777218960955095,0.95,mean,hdi,inform,say
inform - see,-0.13674311377759532,-0.34097873239253523,0.07007131744503503,0.95,mean,hdi,inform,see
inform - stop,1.2755076062810708,1.033434271427387,1.512166911774751,0.95,mean,hdi,inform,stop
inform - suggest,-0.9151900574992288,-1.1186455042450023,-0.7104006482003888,0.95,mean,hdi,inform,suggest
inform - think,-1.0091613085074902,-1.2140957053209698,-0.79158385897185,0.95,mean,hdi,inform,think
inform - too,1.6331060214398436,1.3963086991944431,1.8919904927518592,0.95,mean,hdi,inform,too
know - pretend,-0.48117085490367634,-0.6913670645255369,-0.26704063037397097,0.95,mean,hdi,know,pretend
know - prove,-0.7689364277162992,-0.9701960448478868,-0.5642300302115858,0.95,mean,hdi,know,prove
know - reveal,-0.8467038115415776,-1.0646399341570782,-0.6490828481119534,0.95,mean,hdi,know,reveal
know - say,-1.5958764950315023,-1.8196155842882265,-1.373569709310042,0.95,mean,hdi,know,say
know - see,-0.6425564519287812,-0.8605603814472009,-0.4195049537488623,0.95,mean,hdi,know,see
know - stop,0.769694268129885,0.5309295019418183,1.030705851500311,0.95,mean,hdi,know,stop
know - suggest,-1.4210033956504144,-1.6467271493627365,-1.2166238082137537,0.95,mean,hdi,know,suggest
know - think,-1.514974646658676,-1.7417404774893794,-1.2924703345582074,0.95,mean,hdi,know,think
know - too,1.1272926832886576,0.8711948283174636,1.3755174319783394,0.95,mean,hdi,know,too
pretend - prove,-0.2877655728126229,-0.4776967675497085,-0.09873180358826616,0.95,mean,hdi,pretend,prove
pretend - reveal,-0.3655329566379013,-0.5646396533400401,-0.1811449573255577,0.95,mean,hdi,pretend,reveal
pretend - say,-1.114705640127826,-1.3266860174854735,-0.901290062176918,0.95,mean,hdi,pretend,say
pretend - see,-0.16138559702510488,-0.3710007134801635,0.04196552114942546,0.95,mean,hdi,pretend,see
pretend - stop,1.2508651230335612,1.007198861716922,1.4853173268982116,0.95,mean,hdi,pretend,stop
pretend - suggest,-0.9398325407467382,-1.1346063845545649,-0.7317672723222362,0.95,mean,hdi,pretend,suggest
pretend - think,-1.0338037917549998,-1.236947825865177,-0.8214655017422247,0.95,mean,hdi,pretend,think
pretend - too,1.608463538192334,1.3599107850622605,1.848078276743064,0.95,mean,hdi,pretend,too
prove - reveal,-0.0777673838252784,-0.2599765758585944,0.10492672325012904,0.95,mean,hdi,prove,reveal
prove - say,-0.8269400673152031,-1.0254527162679856,-0.626906953671012,0.95,mean,hdi,prove,say
prove - see,0.126379975787518,-0.08490023825469623,0.31434856882954143,0.95,mean,hdi,prove,see
prove - stop,1.5386306958461842,1.307496134862153,1.7766892378513202,0.95,mean,hdi,prove,stop
prove - suggest,-0.6520669679341152,-0.8487492706769122,-0.4622151295099629,0.95,mean,hdi,prove,suggest
prove - think,-0.7460382189423769,-0.9469657216698024,-0.5418367690766508,0.95,mean,hdi,prove,think
prove - too,1.896229111004957,1.6529000676281724,2.1224352169856613,0.95,mean,hdi,prove,too
reveal - say,-0.7491726834899246,-0.9546300532172602,-0.5446086712268743,0.95,mean,hdi,reveal,say
reveal - see,0.20414735961279645,0.00963111001922982,0.4098731160759129,0.95,mean,hdi,reveal,see
reveal - stop,1.6163980796714623,1.392840001409629,1.8656879362381151,0.95,mean,hdi,reveal,stop
reveal - suggest,-0.5742995841088369,-0.7715586455279778,-0.37855233647381326,0.95,mean,hdi,reveal,suggest
reveal - think,-0.6682708351170985,-0.8823013133749126,-0.47968866069966126,0.95,mean,hdi,reveal,think
reveal - too,1.973996494830235,1.7326077460757203,2.2132989734873,0.95,mean,hdi,reveal,too
say - see,0.9533200431027212,0.7278925994629111,1.1614329324861503,0.95,mean,hdi,say,see
say - stop,2.3655707631613874,2.0920474377727913,2.5974035131571407,0.95,mean,hdi,say,stop
say - suggest,0.17487309938108778,-0.03693386985784253,0.3818830618274549,0.95,mean,hdi,say,suggest
say - think,0.08090184837282614,-0.1365657525805829,0.29592942016026025,0.95,mean,hdi,say,think
say - too,2.72316917832016,2.4878514364472273,3.0021241137231542,0.95,mean,hdi,say,too
see - stop,1.4122507200586665,1.1678247154904915,1.65639329437006,0.95,mean,hdi,see,stop
see - suggest,-0.7784469437216333,-0.9857998334324122,-0.5694910780993594,0.95,mean,hdi,see,suggest
see - think,-0.8724181947298949,-1.0809194184577866,-0.6546727980600713,0.95,mean,hdi,see,think
see - too,1.7698491352174388,1.519423677027456,2.0231436555912743,0.95,mean,hdi,see,too
stop - suggest,-2.1906976637802993,-2.426236586614541,-1.9400619374431236,0.95,mean,hdi,stop,suggest
stop - think,-2.284668914788561,-2.5302771155834507,-2.0400774437334483,0.95,mean,hdi,stop,think
stop - too,0.3575984151587728,0.17640363313976778,0.5276940472433049,0.95,mean,hdi,stop,too
suggest - think,-0.0939712510082616,-0.3075798534433787,0.1124907287202063,0.95,mean,hdi,suggest,think
suggest - too,2.5482960789390723,2.305118788852247,2.7986411459881304,0.95,mean,hdi,suggest,too
think - too,2.642267329947334,2.4036759489499446,2.9070986762773203,0.95,mean,hdi,think,too
